appointment_id,created_date,scheduled_date,show_date,dealership_id,lead_id,customer_id,salesperson_id,bdc_employee_id,vehicle_model_id,sale_id,appointment_count,is_confirmed,is_cancelled_in_advance,is_shown,is_test_drive,is_write_up,is_sold,minutes_early_or_late,source_system
APT-00000001,2025-07-01,2025-07-01,,GSA-003,LED-000000001,CUS-00000593,EMP-00027,,,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000002,2025-07-01,2025-07-01,,GSA-002,LED-000000005,CUS-00002397,EMP-00015,EMP-00019,VMD-00110,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000003,2025-07-01,2025-07-01,,GSA-002,LED-000000005,CUS-00002397,EMP-00013,EMP-00019,VMD-00110,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000004,2025-07-01,2025-07-02,2025-07-02,GSA-001,LED-000000006,CUS-00000027,EMP-00006,EMP-00011,VMD-00104,SLE-00000017,1,true,false,true,true,true,true,9,arpi_synthetic_generator
APT-00000005,2025-07-01,2025-07-01,,GSA-002,LED-000000022,CUS-00002013,EMP-00018,EMP-00019,VMD-00025,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000006,2025-07-01,2025-07-05,,GSA-001,LED-000000023,CUS-00001117,EMP-00006,EMP-00011,VMD-00104,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000007,2025-07-01,2025-07-01,2025-07-01,GSA-001,LED-000000039,CUS-00001966,EMP-00004,EMP-00011,,,1,true,false,true,true,true,false,22,arpi_synthetic_generator
APT-00000008,2025-07-01,2025-07-02,2025-07-02,GSA-003,LED-000000042,CUS-00000156,EMP-00026,,VMD-00053,SLE-00000044,1,true,false,true,true,true,true,13,arpi_synthetic_generator
APT-00000009,2025-07-02,2025-07-08,,GSA-001,LED-000000003,,EMP-00002,EMP-00011,VMD-00046,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000010,2025-07-02,2025-07-03,,GSA-001,LED-000000007,CUS-00000138,EMP-00010,EMP-00011,VMD-00001,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000011,2025-07-02,2025-07-06,2025-07-06,GSA-002,LED-000000009,CUS-00000833,EMP-00018,EMP-00019,VMD-00119,SLE-00000232,1,true,false,true,true,true,true,6,arpi_synthetic_generator
APT-00000012,2025-07-02,2025-07-08,,GSA-002,LED-000000016,CUS-00002397,EMP-00022,EMP-00019,VMD-00023,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000013,2025-07-02,2025-07-02,2025-07-02,GSA-002,LED-000000052,CUS-00001496,EMP-00022,EMP-00019,VMD-00056,SLE-00000005,1,true,false,true,false,true,true,11,arpi_synthetic_generator
APT-00000014,2025-07-02,2025-07-04,2025-07-04,GSA-001,LED-000000058,CUS-00000076,EMP-00004,EMP-00011,VMD-00062,,1,true,false,true,true,true,false,16,arpi_synthetic_generator
APT-00000015,2025-07-02,2025-07-03,,GSA-001,LED-000000059,CUS-00002282,EMP-00006,EMP-00011,VMD-00103,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000016,2025-07-02,2025-07-04,,GSA-003,LED-000000078,CUS-00002155,EMP-00030,,,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000017,2025-07-02,2025-07-02,,GSA-001,LED-000000092,CUS-00000819,EMP-00010,EMP-00011,VMD-00050,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000018,2025-07-03,2025-07-03,2025-07-03,GSA-002,LED-000000022,CUS-00002013,EMP-00016,EMP-00019,VMD-00025,,1,false,false,true,false,true,false,26,arpi_synthetic_generator
APT-00000019,2025-07-03,2025-07-03,,GSA-001,LED-000000096,CUS-00001006,EMP-00003,EMP-00011,VMD-00116,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000020,2025-07-03,2025-07-03,2025-07-03,GSA-001,LED-000000096,CUS-00001006,EMP-00006,EMP-00011,VMD-00116,SLE-00000012,1,true,false,true,true,true,true,18,arpi_synthetic_generator
APT-00000021,2025-07-03,2025-07-03,2025-07-03,GSA-003,LED-000000099,CUS-00002217,EMP-00029,,VMD-00038,SLE-00000151,1,true,false,true,false,true,true,-13,arpi_synthetic_generator
APT-00000022,2025-07-03,2025-07-04,2025-07-04,GSA-001,LED-000000113,CUS-00000506,EMP-00001,EMP-00011,,,1,true,false,true,true,true,false,-23,arpi_synthetic_generator
APT-00000023,2025-07-03,2025-07-06,,GSA-001,LED-000000114,,EMP-00012,EMP-00011,VMD-00104,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000024,2025-07-03,2025-07-05,2025-07-05,GSA-003,LED-000000120,CUS-00000781,EMP-00025,,VMD-00053,SLE-00000014,1,true,false,true,false,true,true,22,arpi_synthetic_generator
APT-00000025,2025-07-03,2025-07-04,2025-07-04,GSA-003,LED-000000122,CUS-00000331,EMP-00030,,VMD-00091,,1,true,false,true,false,false,false,24,arpi_synthetic_generator
APT-00000026,2025-07-03,2025-07-03,2025-07-03,GSA-002,LED-000000127,CUS-00000737,EMP-00022,EMP-00019,VMD-00118,SLE-00000011,1,true,false,true,false,true,true,-10,arpi_synthetic_generator
APT-00000027,2025-07-04,2025-07-04,2025-07-04,GSA-003,LED-000000019,CUS-00000703,EMP-00024,,VMD-00088,SLE-00000112,1,true,false,true,true,true,true,-26,arpi_synthetic_generator
APT-00000028,2025-07-04,2025-07-07,2025-07-07,GSA-002,LED-000000029,CUS-00000978,EMP-00022,EMP-00019,VMD-00032,SLE-00000020,1,true,false,true,true,true,true,2,arpi_synthetic_generator
APT-00000029,2025-07-04,2025-07-07,,GSA-002,LED-000000040,CUS-00001593,EMP-00013,EMP-00019,,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000030,2025-07-04,2025-07-05,,GSA-002,LED-000000090,CUS-00000081,EMP-00013,EMP-00019,VMD-00047,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000031,2025-07-04,2025-07-07,2025-07-07,GSA-002,LED-000000105,CUS-00001459,EMP-00018,EMP-00019,VMD-00070,,1,true,false,true,false,true,false,17,arpi_synthetic_generator
APT-00000032,2025-07-04,2025-07-04,2025-07-04,GSA-003,LED-000000109,CUS-00001443,EMP-00030,,VMD-00061,,1,false,false,true,true,true,false,10,arpi_synthetic_generator
APT-00000033,2025-07-04,2025-07-04,2025-07-04,GSA-001,LED-000000115,,EMP-00003,EMP-00011,VMD-00009,,1,true,false,true,false,true,false,25,arpi_synthetic_generator
APT-00000034,2025-07-04,2025-07-06,2025-07-06,GSA-001,LED-000000126,CUS-00002493,EMP-00004,EMP-00011,VMD-00112,SLE-00000270,1,true,false,true,true,true,true,16,arpi_synthetic_generator
APT-00000035,2025-07-04,2025-07-04,,GSA-003,LED-000000135,CUS-00002008,EMP-00026,,VMD-00041,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000036,2025-07-04,2025-07-06,,GSA-002,LED-000000137,CUS-00001247,EMP-00014,EMP-00019,,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000037,2025-07-04,2025-07-04,2025-07-04,GSA-001,LED-000000143,CUS-00000710,EMP-00010,EMP-00011,VMD-00005,SLE-00000029,1,true,false,true,true,true,true,20,arpi_synthetic_generator
APT-00000038,2025-07-04,2025-07-04,2025-07-04,GSA-003,LED-000000148,CUS-00000043,EMP-00024,,,,1,true,false,true,true,true,false,2,arpi_synthetic_generator
APT-00000039,2025-07-05,2025-07-05,,GSA-001,LED-000000066,CUS-00001944,EMP-00006,EMP-00011,VMD-00009,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000040,2025-07-05,2025-07-05,,GSA-001,LED-000000066,CUS-00001944,EMP-00001,EMP-00011,VMD-00009,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000041,2025-07-05,2025-07-05,,GSA-001,LED-000000066,CUS-00001944,EMP-00001,EMP-00011,VMD-00009,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000042,2025-07-05,2025-07-06,2025-07-06,GSA-001,LED-000000068,CUS-00000637,EMP-00002,EMP-00011,VMD-00089,SLE-00000180,1,true,false,true,true,true,true,32,arpi_synthetic_generator
APT-00000043,2025-07-05,2025-07-06,,GSA-003,LED-000000078,CUS-00002155,EMP-00030,,,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000044,2025-07-05,2025-07-05,2025-07-05,GSA-001,LED-000000084,CUS-00001607,EMP-00001,EMP-00011,VMD-00096,,1,true,false,true,true,false,false,27,arpi_synthetic_generator
APT-00000045,2025-07-05,2025-07-09,,GSA-002,LED-000000116,CUS-00002011,EMP-00015,EMP-00019,VMD-00096,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000046,2025-07-05,2025-07-07,2025-07-07,GSA-002,LED-000000131,CUS-00002155,EMP-00022,EMP-00019,VMD-00048,,1,true,false,true,true,true,false,20,arpi_synthetic_generator
APT-00000047,2025-07-05,2025-07-05,2025-07-05,GSA-001,LED-000000162,CUS-00001703,EMP-00002,EMP-00011,VMD-00028,SLE-00000023,1,true,false,true,true,true,true,35,arpi_synthetic_generator
APT-00000048,2025-07-05,2025-07-06,2025-07-06,GSA-001,LED-000000164,CUS-00001016,EMP-00001,EMP-00011,VMD-00050,SLE-00000037,1,true,false,true,true,true,true,13,arpi_synthetic_generator
APT-00000049,2025-07-06,2025-07-06,,GSA-001,LED-000000023,CUS-00001117,EMP-00010,EMP-00011,VMD-00104,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000050,2025-07-06,2025-07-06,,GSA-002,LED-000000090,CUS-00000081,EMP-00015,EMP-00019,VMD-00047,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000051,2025-07-06,2025-07-08,2025-07-08,GSA-001,LED-000000117,CUS-00002443,EMP-00003,EMP-00011,VMD-00104,SLE-00000382,1,true,false,true,false,true,true,-34,arpi_synthetic_generator
APT-00000052,2025-07-06,2025-07-06,,GSA-001,LED-000000149,CUS-00001717,EMP-00012,EMP-00011,VMD-00009,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000053,2025-07-06,2025-07-07,,GSA-001,LED-000000181,CUS-00001190,EMP-00002,EMP-00011,VMD-00079,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000054,2025-07-07,2025-07-08,,GSA-001,LED-000000049,CUS-00001258,EMP-00010,EMP-00011,VMD-00036,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000055,2025-07-07,2025-07-07,2025-07-07,GSA-001,LED-000000088,,EMP-00006,EMP-00011,VMD-00051,,1,true,false,true,true,true,false,-10,arpi_synthetic_generator
APT-00000056,2025-07-07,2025-07-09,,GSA-001,LED-000000136,,EMP-00006,EMP-00011,VMD-00108,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000057,2025-07-07,2025-07-07,,GSA-001,LED-000000140,CUS-00002080,EMP-00001,EMP-00011,VMD-00072,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000058,2025-07-07,2025-07-10,,GSA-001,LED-000000149,CUS-00001717,EMP-00006,EMP-00011,VMD-00009,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000059,2025-07-07,2025-07-07,,GSA-001,LED-000000181,CUS-00001190,EMP-00006,EMP-00011,VMD-00079,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000060,2025-07-07,2025-07-07,2025-07-07,GSA-001,LED-000000181,CUS-00001190,EMP-00001,EMP-00011,VMD-00079,SLE-00000018,1,true,false,true,true,true,true,-8,arpi_synthetic_generator
APT-00000061,2025-07-07,2025-07-16,2025-07-16,GSA-002,LED-000000184,CUS-00001070,EMP-00022,EMP-00019,,,1,true,false,true,true,true,false,3,arpi_synthetic_generator
APT-00000062,2025-07-07,2025-07-07,2025-07-07,GSA-003,LED-000000198,CUS-00000729,EMP-00026,,VMD-00041,SLE-00000170,1,true,false,true,true,true,true,11,arpi_synthetic_generator
APT-00000063,2025-07-07,2025-07-07,2025-07-07,GSA-002,LED-000000201,CUS-00001510,EMP-00015,EMP-00019,VMD-00120,SLE-00000079,1,true,false,true,false,true,true,25,arpi_synthetic_generator
APT-00000064,2025-07-07,2025-07-13,2025-07-13,GSA-003,LED-000000205,CUS-00002236,EMP-00025,,VMD-00064,SLE-00000041,1,true,false,true,true,true,true,4,arpi_synthetic_generator
APT-00000065,2025-07-07,2025-07-07,,GSA-001,LED-000000209,CUS-00002479,EMP-00003,EMP-00011,,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000066,2025-07-07,2025-07-10,,GSA-001,LED-000000210,CUS-00002136,EMP-00006,EMP-00011,VMD-00098,,1,false,false,false,false,false,false,,arpi_synthetic_generator
