customer_key,customer_id,household_id,age_band,county,state_code,market_area,customer_type,is_prior_customer,is_service_customer,first_interaction_date,source_system
1,CUS-00000001,HH-00000001,45-54,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-02-20,arpi_synthetic_generator
2,CUS-00000002,HH-00000002,35-44,Rockingham,NH,Southern New Hampshire,Retail,true,true,2025-04-06,arpi_synthetic_generator
3,CUS-00000003,HH-00000002,25-34,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-11-24,arpi_synthetic_generator
4,CUS-00000004,HH-00000003,65+,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-05-27,arpi_synthetic_generator
5,CUS-00000005,HH-00000004,45-54,Middlesex,MA,Northern Massachusetts,Retail,false,true,2025-01-25,arpi_synthetic_generator
6,CUS-00000006,HH-00000005,45-54,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-01-16,arpi_synthetic_generator
7,CUS-00000007,HH-00000006,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-07-20,arpi_synthetic_generator
8,CUS-00000008,HH-00000007,35-44,Essex,MA,Northern Massachusetts,Retail,false,false,2025-10-12,arpi_synthetic_generator
9,CUS-00000009,HH-00000008,35-44,Hillsborough,NH,Southern New Hampshire,Business,false,false,2025-09-09,arpi_synthetic_generator
10,CUS-00000010,HH-00000009,35-44,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-12-28,arpi_synthetic_generator
11,CUS-00000011,HH-00000010,35-44,Hillsborough,NH,Southern New Hampshire,Business,false,true,2025-09-27,arpi_synthetic_generator
12,CUS-00000012,HH-00000011,35-44,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-08-03,arpi_synthetic_generator
13,CUS-00000013,HH-00000012,45-54,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-04-28,arpi_synthetic_generator
14,CUS-00000014,HH-00000013,35-44,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-06-06,arpi_synthetic_generator
15,CUS-00000015,HH-00000014,25-34,Essex,MA,Northern Massachusetts,Retail,false,true,2025-12-21,arpi_synthetic_generator
16,CUS-00000016,HH-00000014,65+,Essex,MA,Northern Massachusetts,Retail,true,true,2025-02-05,arpi_synthetic_generator
17,CUS-00000017,HH-00000015,45-54,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-01-18,arpi_synthetic_generator
18,CUS-00000018,HH-00000016,45-54,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-03-20,arpi_synthetic_generator
19,CUS-00000019,HH-00000017,25-34,Hillsborough,NH,Southern New Hampshire,Retail,true,false,2025-02-03,arpi_synthetic_generator
20,CUS-00000020,HH-00000018,45-54,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-11-12,arpi_synthetic_generator
21,CUS-00000021,HH-00000018,18-24,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-01-16,arpi_synthetic_generator
22,CUS-00000022,HH-00000018,35-44,Strafford,NH,Southern New Hampshire,Retail,false,true,2025-08-28,arpi_synthetic_generator
23,CUS-00000023,HH-00000019,45-54,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-08-02,arpi_synthetic_generator
24,CUS-00000024,HH-00000020,45-54,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-02-10,arpi_synthetic_generator
25,CUS-00000025,HH-00000021,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-04-13,arpi_synthetic_generator
26,CUS-00000026,HH-00000022,35-44,Middlesex,MA,Northern Massachusetts,Retail,false,true,2025-02-23,arpi_synthetic_generator
27,CUS-00000027,HH-00000023,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-01-30,arpi_synthetic_generator
28,CUS-00000028,HH-00000024,18-24,Rockingham,NH,Southern New Hampshire,Retail,true,true,2025-06-23,arpi_synthetic_generator
29,CUS-00000029,HH-00000025,45-54,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-01-04,arpi_synthetic_generator
30,CUS-00000030,HH-00000026,45-54,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-09-17,arpi_synthetic_generator
31,CUS-00000031,HH-00000026,45-54,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-02-06,arpi_synthetic_generator
32,CUS-00000032,HH-00000026,18-24,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-10-16,arpi_synthetic_generator
33,CUS-00000033,HH-00000027,35-44,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-06-14,arpi_synthetic_generator
34,CUS-00000034,HH-00000028,25-34,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-03-08,arpi_synthetic_generator
