gl_control_balance_id,dealership_id,gl_account_id,balance_date,net_balance,source_system
GLB-00000001,GSA-003,GLA-1210,2025-12-31,18400.00,SYNTHETIC-DMS-GL
GLB-00000002,GSA-001,GLA-1230,2025-07-31,363728.18,SYNTHETIC-DMS-GL
GLB-00000003,GSA-001,GLA-1210,2025-07-31,1696474.24,SYNTHETIC-DMS-GL
GLB-00000004,GSA-001,GLA-1220,2025-07-31,689829.72,SYNTHETIC-DMS-GL
GLB-00000005,GSA-002,GLA-1230,2025-07-31,249961.17,SYNTHETIC-DMS-GL
GLB-00000006,GSA-002,GLA-1210,2025-07-31,1377346.58,SYNTHETIC-DMS-GL
GLB-00000007,GSA-002,GLA-1220,2025-07-31,512408.41,SYNTHETIC-DMS-GL
GLB-00000008,GSA-003,GLA-1220,2025-07-31,1037288.02,SYNTHETIC-DMS-GL
GLB-00000009,GSA-001,GLA-1230,2025-08-31,328875.83,SYNTHETIC-DMS-GL
GLB-00000010,GSA-001,GLA-1210,2025-08-31,1527566.56,SYNTHETIC-DMS-GL
GLB-00000011,GSA-001,GLA-1220,2025-08-31,713269.69,SYNTHETIC-DMS-GL
GLB-00000012,GSA-002,GLA-1210,2025-08-31,1135320.17,SYNTHETIC-DMS-GL
GLB-00000013,GSA-002,GLA-1220,2025-08-31,530531.87,SYNTHETIC-DMS-GL
GLB-00000014,GSA-003,GLA-1220,2025-08-31,1096677.36,SYNTHETIC-DMS-GL
GLB-00000015,GSA-001,GLA-1230,2025-09-30,281070.40,SYNTHETIC-DMS-GL
GLB-00000016,GSA-001,GLA-1210,2025-09-30,1425708.15,SYNTHETIC-DMS-GL
GLB-00000017,GSA-001,GLA-1220,2025-09-30,758234.03,SYNTHETIC-DMS-GL
GLB-00000018,GSA-002,GLA-1230,2025-09-30,313794.99,SYNTHETIC-DMS-GL
GLB-00000019,GSA-002,GLA-1210,2025-09-30,1205004.50,SYNTHETIC-DMS-GL
GLB-00000020,GSA-002,GLA-1220,2025-09-30,599841.33,SYNTHETIC-DMS-GL
GLB-00000021,GSA-003,GLA-1220,2025-09-30,1172490.29,SYNTHETIC-DMS-GL
GLB-00000022,GSA-001,GLA-1230,2025-10-31,381959.40,SYNTHETIC-DMS-GL
GLB-00000023,GSA-001,GLA-1210,2025-10-31,1498589.47,SYNTHETIC-DMS-GL
GLB-00000024,GSA-001,GLA-1220,2025-10-31,690065.26,SYNTHETIC-DMS-GL
GLB-00000025,GSA-002,GLA-1230,2025-10-31,256433.34,SYNTHETIC-DMS-GL
GLB-00000026,GSA-002,GLA-1210,2025-10-31,1154119.83,SYNTHETIC-DMS-GL
GLB-00000027,GSA-002,GLA-1220,2025-10-31,554649.92,SYNTHETIC-DMS-GL
GLB-00000028,GSA-003,GLA-1220,2025-10-31,1071159.11,SYNTHETIC-DMS-GL
GLB-00000029,GSA-001,GLA-1230,2025-11-30,276082.94,SYNTHETIC-DMS-GL
GLB-00000030,GSA-001,GLA-1210,2025-11-30,1717712.41,SYNTHETIC-DMS-GL
GLB-00000031,GSA-001,GLA-1220,2025-11-30,757953.45,SYNTHETIC-DMS-GL
GLB-00000032,GSA-002,GLA-1230,2025-11-30,158736.98,SYNTHETIC-DMS-GL
GLB-00000033,GSA-002,GLA-1210,2025-11-30,1051230.96,SYNTHETIC-DMS-GL
GLB-00000034,GSA-002,GLA-1220,2025-11-30,653149.25,SYNTHETIC-DMS-GL
GLB-00000035,GSA-003,GLA-1220,2025-11-30,1006767.32,SYNTHETIC-DMS-GL
GLB-00000036,GSA-001,GLA-1230,2025-12-31,393453.31,SYNTHETIC-DMS-GL
GLB-00000037,GSA-001,GLA-1210,2025-12-31,1559361.96,SYNTHETIC-DMS-GL
GLB-00000038,GSA-001,GLA-1220,2025-12-31,836955.27,SYNTHETIC-DMS-GL
GLB-00000039,GSA-002,GLA-1230,2025-12-31,214745.78,SYNTHETIC-DMS-GL
GLB-00000040,GSA-002,GLA-1210,2025-12-31,797669.88,SYNTHETIC-DMS-GL
GLB-00000041,GSA-002,GLA-1220,2025-12-31,617250.37,SYNTHETIC-DMS-GL
GLB-00000042,GSA-003,GLA-1220,2025-12-31,1101473.77,SYNTHETIC-DMS-GL
