inventory_accounting_id,dealership_id,vehicle_id,accounting_date,acquisition_date,control_account_category,acquisition_cost,capitalized_transportation,capitalized_reconditioning,capitalized_accessories,other_capitalized_costs,write_down_amount,current_book_value,floorplan_principal,days_in_stock,source_system
IAS-00000001,GSA-001,VEH-0000007,2025-07-31,2025-03-31,New Vehicle Inventory,37590.80,895.00,131.00,0.00,0.00,1503.63,37113.17,37590.80,122,SYNTHETIC-DMS-ACCOUNTING
IAS-00000002,GSA-001,VEH-0000016,2025-07-31,2025-03-15,New Vehicle Inventory,37501.22,895.00,143.00,395.00,0.00,1500.05,37434.17,37501.22,138,SYNTHETIC-DMS-ACCOUNTING
IAS-00000003,GSA-001,VEH-0000019,2025-07-31,2025-06-26,Used Vehicle Inventory,5329.28,450.00,1705.61,0.00,0.00,0.00,7484.89,5329.28,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000004,GSA-001,VEH-0000059,2025-07-31,2025-06-17,New Vehicle Inventory,45113.67,895.00,95.00,0.00,0.00,0.00,46103.67,45113.67,44,SYNTHETIC-DMS-ACCOUNTING
IAS-00000005,GSA-001,VEH-0000070,2025-07-31,2025-07-08,Used Vehicle Inventory,4079.86,0.00,1380.76,0.00,0.00,0.00,5460.62,0.00,23,SYNTHETIC-DMS-ACCOUNTING
IAS-00000006,GSA-001,VEH-0000073,2025-07-31,2025-07-29,Certified Vehicle Inventory,32049.81,0.00,3332.96,0.00,425.00,0.00,35807.77,32049.81,2,SYNTHETIC-DMS-ACCOUNTING
IAS-00000007,GSA-001,VEH-0000089,2025-07-31,2025-05-01,New Vehicle Inventory,43924.17,895.00,62.00,0.00,0.00,0.00,44881.17,43924.17,91,SYNTHETIC-DMS-ACCOUNTING
IAS-00000008,GSA-001,VEH-0000103,2025-07-31,2025-06-02,Used Vehicle Inventory,7541.02,0.00,884.06,0.00,0.00,0.00,8425.08,7541.02,59,SYNTHETIC-DMS-ACCOUNTING
IAS-00000009,GSA-001,VEH-0000111,2025-07-31,2025-04-18,New Vehicle Inventory,34818.57,895.00,159.00,0.00,0.00,0.00,35872.57,34818.57,104,SYNTHETIC-DMS-ACCOUNTING
IAS-00000010,GSA-001,VEH-0000113,2025-07-31,2025-07-08,New Vehicle Inventory,45650.68,895.00,156.00,0.00,0.00,0.00,46701.68,45650.68,23,SYNTHETIC-DMS-ACCOUNTING
IAS-00000011,GSA-001,VEH-0000118,2025-07-31,2025-05-22,New Vehicle Inventory,35015.95,895.00,125.00,0.00,0.00,0.00,36035.95,35015.95,70,SYNTHETIC-DMS-ACCOUNTING
IAS-00000012,GSA-001,VEH-0000123,2025-07-31,2025-07-24,Used Vehicle Inventory,5631.09,450.00,766.01,395.00,0.00,0.00,7242.10,5631.09,7,SYNTHETIC-DMS-ACCOUNTING
IAS-00000013,GSA-001,VEH-0000125,2025-07-31,2025-04-25,New Vehicle Inventory,44859.29,895.00,148.00,0.00,0.00,0.00,45902.29,44859.29,97,SYNTHETIC-DMS-ACCOUNTING
IAS-00000014,GSA-001,VEH-0000151,2025-07-31,2025-03-26,Certified Vehicle Inventory,15289.06,0.00,2651.50,0.00,425.00,611.56,17754.00,0.00,127,SYNTHETIC-DMS-ACCOUNTING
IAS-00000015,GSA-001,VEH-0000171,2025-07-31,2025-07-09,New Vehicle Inventory,35094.70,895.00,52.00,249.00,0.00,0.00,36290.70,35094.70,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000016,GSA-001,VEH-0000175,2025-07-31,2025-06-27,Used Vehicle Inventory,10858.83,450.00,3143.30,880.00,0.00,0.00,15332.13,0.00,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000017,GSA-001,VEH-0000211,2025-07-31,2025-05-22,New Vehicle Inventory,36734.14,895.00,112.00,0.00,0.00,0.00,37741.14,36734.14,70,SYNTHETIC-DMS-ACCOUNTING
IAS-00000018,GSA-001,VEH-0000222,2025-07-31,2025-07-16,New Vehicle Inventory,45166.76,895.00,25.00,880.00,0.00,0.00,46966.76,45166.76,15,SYNTHETIC-DMS-ACCOUNTING
IAS-00000019,GSA-001,VEH-0000235,2025-07-31,2025-07-02,Used Vehicle Inventory,9227.33,0.00,2189.00,0.00,0.00,0.00,11416.33,0.00,29,SYNTHETIC-DMS-ACCOUNTING
IAS-00000020,GSA-001,VEH-0000237,2025-07-31,2025-06-10,Used Vehicle Inventory,2124.55,450.00,872.38,0.00,0.00,0.00,3446.93,2124.55,51,SYNTHETIC-DMS-ACCOUNTING
IAS-00000021,GSA-001,VEH-0000243,2025-07-31,2025-07-03,Used Vehicle Inventory,6317.47,0.00,1962.54,0.00,0.00,0.00,8280.01,0.00,28,SYNTHETIC-DMS-ACCOUNTING
IAS-00000022,GSA-001,VEH-0000254,2025-07-31,2025-07-16,Used Vehicle Inventory,37834.35,450.00,1107.63,0.00,0.00,0.00,39391.98,0.00,15,SYNTHETIC-DMS-ACCOUNTING
IAS-00000023,GSA-001,VEH-0000260,2025-07-31,2025-06-27,New Vehicle Inventory,44416.28,895.00,39.00,575.00,0.00,0.00,45925.28,44416.28,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000024,GSA-001,VEH-0000262,2025-07-31,2025-07-07,New Vehicle Inventory,35400.82,895.00,81.00,0.00,0.00,0.00,36376.82,35400.82,24,SYNTHETIC-DMS-ACCOUNTING
IAS-00000025,GSA-001,VEH-0000266,2025-07-31,2025-07-16,Used Vehicle Inventory,27751.12,0.00,792.02,0.00,0.00,0.00,28543.14,0.00,15,SYNTHETIC-DMS-ACCOUNTING
IAS-00000026,GSA-001,VEH-0000270,2025-07-31,2025-07-10,Used Vehicle Inventory,4625.68,450.00,1522.68,0.00,0.00,0.00,6598.36,4625.68,21,SYNTHETIC-DMS-ACCOUNTING
IAS-00000027,GSA-001,VEH-0000275,2025-07-31,2025-05-22,New Vehicle Inventory,41368.53,895.00,118.00,0.00,0.00,0.00,42381.53,41368.53,70,SYNTHETIC-DMS-ACCOUNTING
IAS-00000028,GSA-001,VEH-0000286,2025-07-31,2025-07-29,New Vehicle Inventory,44456.32,895.00,24.00,0.00,0.00,0.00,45375.32,44456.32,2,SYNTHETIC-DMS-ACCOUNTING
IAS-00000029,GSA-001,VEH-0000288,2025-07-31,2025-07-23,Used Vehicle Inventory,28179.48,450.00,1309.10,0.00,0.00,0.00,29938.58,28179.48,8,SYNTHETIC-DMS-ACCOUNTING
IAS-00000030,GSA-001,VEH-0000297,2025-07-31,2025-07-16,Used Vehicle Inventory,18964.81,0.00,1726.88,0.00,0.00,0.00,20691.69,18964.81,15,SYNTHETIC-DMS-ACCOUNTING
IAS-00000031,GSA-001,VEH-0000299,2025-07-31,2025-06-16,Certified Vehicle Inventory,28228.15,450.00,2783.91,0.00,425.00,0.00,31887.06,0.00,45,SYNTHETIC-DMS-ACCOUNTING
IAS-00000032,GSA-001,VEH-0000303,2025-07-31,2025-07-31,New Vehicle Inventory,36091.95,895.00,120.00,395.00,0.00,0.00,37501.95,36091.95,0,SYNTHETIC-DMS-ACCOUNTING
IAS-00000033,GSA-001,VEH-0000315,2025-07-31,2025-05-20,Used Vehicle Inventory,23832.22,0.00,937.74,0.00,0.00,0.00,24769.96,0.00,72,SYNTHETIC-DMS-ACCOUNTING
IAS-00000034,GSA-001,VEH-0000318,2025-07-31,2025-07-24,New Vehicle Inventory,34770.79,895.00,145.00,0.00,0.00,0.00,35810.79,34770.79,7,SYNTHETIC-DMS-ACCOUNTING
IAS-00000035,GSA-001,VEH-0000326,2025-07-31,2025-07-19,New Vehicle Inventory,34412.64,895.00,70.00,0.00,0.00,0.00,35377.64,34412.64,12,SYNTHETIC-DMS-ACCOUNTING
IAS-00000036,GSA-001,VEH-0000336,2025-07-31,2025-04-01,Certified Vehicle Inventory,15717.52,0.00,2507.04,575.00,425.00,628.70,18595.86,15717.52,121,SYNTHETIC-DMS-ACCOUNTING
IAS-00000037,GSA-001,VEH-0000341,2025-07-31,2025-07-30,Used Vehicle Inventory,28098.60,325.00,1351.69,575.00,0.00,0.00,30350.29,0.00,1,SYNTHETIC-DMS-ACCOUNTING
