snapshot_date,dealership_id,vehicle_id,vehicle_model_id,current_asking_price,original_asking_price,msrp,acquisition_cost,reconditioning_cost,inventory_investment,market_price_estimate,days_in_stock,age_bucket,markdown_count_to_date,inventory_unit_count,source_system
2025-07-01,GSA-001,VEH-0000007,VMD-00104,39425.25,40519.27,40600.43,37590.80,131.00,37721.80,42001.10,92,91-120,3,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000016,VMD-00103,39085.17,40169.75,40267.60,37501.22,143.00,37644.22,42238.93,108,91-120,3,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000019,VMD-00029,8814.97,8814.97,,5329.28,1705.61,7034.89,8688.10,5,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000059,VMD-00113,49676.92,49676.92,49909.80,45113.67,95.00,45208.67,50631.36,14,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000089,VMD-00115,47880.32,48757.96,47944.77,43924.17,62.00,43986.17,48761.37,61,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000103,VMD-00027,11216.32,11216.32,,7541.02,884.06,8425.08,10791.09,29,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000111,VMD-00103,37319.89,38003.96,38434.23,34818.57,159.00,34977.57,38861.18,74,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000118,VMD-00104,37470.79,37811.09,38066.40,35015.95,125.00,35140.95,37723.90,40,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000125,VMD-00113,49153.16,50054.13,50030.27,44859.29,148.00,45007.29,54083.49,67,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000151,VMD-00062,22644.35,23861.27,,15289.06,2651.50,17940.56,24650.79,97,91-120,3,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000170,VMD-00019,9181.82,9181.82,,5248.95,1684.73,6933.68,10169.98,5,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000175,VMD-00053,18813.85,18813.85,,10858.83,3143.30,14002.13,17834.59,4,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000189,VMD-00103,39832.91,39832.91,38949.31,35276.31,116.00,35392.31,39636.89,5,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000204,VMD-00050,18050.18,18362.34,,11062.90,3101.68,14164.58,19200.49,49,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000211,VMD-00112,39048.05,39402.67,39351.28,36734.14,112.00,36846.14,39223.82,40,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000237,VMD-00005,3907.27,3907.27,,2124.55,872.38,2996.93,3640.00,21,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000249,VMD-00088,37301.52,38614.41,,26940.12,2541.03,29481.15,,60,31-60,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000250,VMD-00117,38728.59,39398.36,,30135.79,1314.64,31450.43,39714.81,35,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000252,VMD-00050,16818.97,17722.83,,10167.69,2963.60,13131.29,18390.93,109,91-120,3,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000260,VMD-00089,47296.94,47296.94,47824.44,44416.28,39.00,44455.28,47979.15,4,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000275,VMD-00089,45752.18,46167.69,45319.18,41368.53,118.00,41486.53,50386.31,40,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000299,VMD-00089,41998.64,41998.64,,28228.15,2783.91,31012.06,39860.95,15,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000300,VMD-00007,2859.24,2959.88,,1593.53,734.32,2327.85,3129.44,76,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000315,VMD-00091,33797.99,34382.49,,23832.22,937.74,24769.96,33260.18,42,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000324,VMD-00064,26396.15,26396.15,,16338.23,2599.57,18937.80,,21,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000336,VMD-00063,23556.59,24822.54,,15717.52,2507.04,18224.56,24750.93,91,91-120,3,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000340,VMD-00079,26923.11,26923.11,,18863.35,1879.35,20742.70,27953.05,25,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000347,VMD-00009,4938.69,5024.10,,2848.73,1060.67,3909.40,5196.67,54,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000354,VMD-00080,23678.58,23678.58,,17559.43,1581.89,19141.32,22093.32,11,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000376,VMD-00062,24509.06,24509.06,,17402.21,1577.86,18980.07,23261.57,28,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000379,VMD-00115,49295.81,50148.33,,35468.91,1222.16,36691.07,54857.41,53,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000380,VMD-00070,22201.93,22983.36,,16612.40,1289.02,17901.42,24502.24,77,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000394,VMD-00103,38297.79,38999.79,38404.41,35346.73,92.00,35438.73,39542.32,87,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000402,VMD-00063,27461.19,27936.10,,17661.00,2147.69,19808.69,25441.13,46,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000411,VMD-00050,21006.72,21006.72,,13938.91,2533.50,16472.41,20855.39,13,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000427,VMD-00103,37907.71,38602.56,38753.23,35105.16,2.00,35107.16,35908.56,77,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000436,VMD-00104,38611.38,38962.04,38702.62,35164.31,30.00,35194.31,,32,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000437,VMD-00074,14802.12,14802.12,,9513.30,1861.57,11374.87,13456.21,4,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000444,VMD-00063,21661.59,22036.21,,15461.09,3025.59,18486.68,22476.96,57,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000463,VMD-00081,19503.27,19503.27,,12238.48,1911.42,14149.90,18125.32,15,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000469,VMD-00104,38416.69,38765.58,38405.60,35268.13,100.00,35368.13,,40,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000471,VMD-00111,40654.27,41399.46,40396.57,37625.73,94.00,37719.73,38973.04,60,31-60,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000472,VMD-00087,35007.66,35613.08,,26206.52,1406.38,27612.90,37335.76,50,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000476,VMD-00028,11540.30,11540.30,,6551.43,2023.37,8574.80,11305.35,8,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000480,VMD-00090,32639.08,33787.87,,24660.84,1199.55,25860.39,35445.60,64,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000483,VMD-00028,5283.66,5375.04,,3209.84,1154.56,4364.40,5194.26,50,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000486,VMD-00111,40052.70,40416.45,39861.11,35940.21,36.00,35976.21,37492.72,54,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000488,VMD-00089,44441.40,45256.01,45264.11,42072.36,97.00,42169.36,47549.99,81,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000490,VMD-00005,3607.97,3607.97,,1939.81,824.35,2764.16,3628.08,6,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000503,VMD-00104,41034.23,43239.44,,32592.09,1070.14,33662.23,42382.22,111,91-120,3,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000506,VMD-00027,11753.04,11753.04,,6475.20,2003.55,8478.75,,4,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000518,VMD-00113,57025.53,57025.53,,40392.95,1579.87,41972.82,60416.55,4,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000527,VMD-00063,21712.24,22087.73,,14795.40,623.34,15418.74,21262.44,37,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000533,VMD-00113,50221.28,51141.83,50004.18,46156.06,69.00,46225.06,50428.20,75,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000537,VMD-00050,19149.72,19149.72,,12108.75,1860.26,13969.01,18790.99,12,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000577,VMD-00112,41127.76,41501.27,40998.67,38046.07,130.00,38176.07,41137.88,57,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000582,VMD-00035,16015.54,16015.54,,9362.61,2754.28,12116.89,16296.29,14,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000585,VMD-00117,39981.04,39981.04,40042.10,36460.09,56.00,36516.09,37945.41,25,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000588,VMD-00105,38802.50,38802.50,38333.94,35526.09,84.00,35610.09,36662.15,12,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000589,VMD-00113,48743.47,48743.47,49466.02,44535.59,146.00,44681.59,49891.96,10,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000593,VMD-00065,13768.65,14006.77,,9963.47,1074.53,11038.00,13730.53,40,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000594,VMD-00050,21261.40,21261.40,,12189.87,3019.09,15208.96,21169.13,1,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000599,VMD-00087,38021.27,38366.57,37720.68,34617.44,54.00,34671.44,38106.75,41,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000611,VMD-00116,49091.86,49091.86,48730.67,44760.29,92.00,44852.29,49190.68,4,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000635,VMD-00063,21495.14,21866.88,,15157.17,1771.96,16929.13,23312.52,56,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000637,VMD-00104,38901.68,38901.68,38698.36,35869.78,81.00,35950.78,39481.70,0,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000648,VMD-00090,38442.57,38791.70,38185.84,35467.47,18.00,35485.47,41963.93,39,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000660,VMD-00104,38671.49,41493.01,,27279.21,1452.54,28731.75,37636.77,137,Over 120,4,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000662,VMD-00111,39557.57,39557.57,39515.25,36779.53,113.00,36892.53,39915.05,15,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000664,VMD-00104,39436.38,39794.53,38786.96,35232.52,141.00,35373.52,40690.66,50,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000670,VMD-00105,39210.98,39210.98,38744.04,35676.79,8.00,35684.79,40402.80,21,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000672,VMD-00089,35538.20,36152.80,,26675.82,1499.57,28175.39,32971.35,36,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000674,VMD-00090,36846.15,37521.54,37302.91,33685.01,42.00,33727.01,39260.06,64,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000681,VMD-00116,50155.57,50155.57,50273.31,45818.34,25.00,45843.34,48214.00,26,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000684,VMD-00036,15363.77,15629.47,,9089.17,1655.34,10744.51,15754.69,53,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000690,VMD-00081,19046.50,19046.50,,13180.67,1347.22,14527.89,19743.34,22,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000696,VMD-00089,47248.18,47248.18,46913.31,42850.05,126.00,42976.05,46323.77,20,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000699,VMD-00063,26176.02,26176.02,,15124.37,4252.34,19376.71,23996.89,12,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000710,VMD-00036,14843.54,14843.54,,8471.59,2522.61,10994.20,14964.25,4,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000712,VMD-00059,20869.28,20869.28,,12095.60,3464.86,15560.46,22674.93,5,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000715,VMD-00116,49152.05,49598.44,49139.57,44412.39,102.00,44514.39,46092.82,41,31-60,1,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000725,VMD-00087,38849.14,38849.14,38879.08,35546.56,140.00,35686.56,35116.59,18,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000727,VMD-00104,39437.68,39437.68,38525.10,35798.91,141.00,35939.91,38366.32,7,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000737,VMD-00028,10974.32,10974.32,,6148.69,1918.66,8067.35,10845.83,21,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000742,VMD-00028,7300.31,7300.31,,3992.55,1358.06,5350.61,,14,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000748,VMD-00104,39703.68,40431.45,40293.65,36861.64,106.00,36967.64,40825.54,71,61-90,2,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000750,VMD-00023,3607.11,3607.11,,1959.71,829.52,2789.23,3326.33,13,0-30,0,1,arpi_synthetic_generator
2025-07-01,GSA-001,VEH-0000784,VMD-00062,22606.93,22606.93,,16316.97,1509.72,17826.69,20017.71,12,0-30,0,1,arpi_synthetic_generator
