lead_id,lead_created_date,dealership_id,customer_id,vehicle_model_id,lead_source_id,campaign_id,assigned_employee_id,sale_id,lead_count,first_response_seconds,is_contacted,is_appointment_set,is_appointment_shown,is_sold,is_duplicate,original_lead_id,days_to_sale,source_system
LED-000000001,2025-07-01,GSA-003,CUS-00000593,,LDS-008,,EMP-00030,,1,769,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000002,2025-07-01,GSA-002,CUS-00001011,VMD-00046,LDS-001,,EMP-00022,SLE-00000027,1,3980,true,false,false,true,false,,8,arpi_synthetic_generator
LED-000000003,2025-07-01,GSA-001,,VMD-00046,LDS-001,,EMP-00010,,1,1950,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000004,2025-07-01,GSA-003,CUS-00001624,VMD-00101,LDS-010,,EMP-00029,,1,1050,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000005,2025-07-01,GSA-002,CUS-00002397,VMD-00110,LDS-015,,EMP-00022,SLE-00000001,1,3163,true,true,false,true,false,,0,arpi_synthetic_generator
LED-000000006,2025-07-01,GSA-001,CUS-00000027,VMD-00104,LDS-001,,EMP-00010,SLE-00000017,1,732,true,true,true,true,false,,4,arpi_synthetic_generator
LED-000000007,2025-07-01,GSA-001,CUS-00000138,VMD-00001,LDS-004,,EMP-00011,,1,6527,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000008,2025-07-01,GSA-002,CUS-00000063,VMD-00102,LDS-013,,,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000009,2025-07-01,GSA-002,CUS-00000833,VMD-00119,LDS-015,,EMP-00013,SLE-00000232,1,3238,true,true,true,true,false,,56,arpi_synthetic_generator
LED-000000010,2025-07-01,GSA-001,,VMD-00007,LDS-008,,EMP-00011,,1,30,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000011,2025-07-01,GSA-002,CUS-00001459,VMD-00042,LDS-013,,EMP-00019,,1,6902,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000012,2025-07-01,GSA-002,CUS-00000932,VMD-00082,LDS-001,,EMP-00015,,1,144,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000013,2025-07-01,GSA-003,CUS-00001523,VMD-00022,LDS-001,,EMP-00026,SLE-00000358,1,1377,true,false,false,true,false,,92,arpi_synthetic_generator
LED-000000014,2025-07-01,GSA-002,CUS-00000999,VMD-00108,LDS-001,,EMP-00015,,1,1675,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000015,2025-07-01,GSA-002,CUS-00002268,VMD-00006,LDS-014,,EMP-00019,,1,14819,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000016,2025-07-01,GSA-002,CUS-00002397,VMD-00023,LDS-001,,EMP-00020,,1,658,true,true,false,false,true,LED-000000005,,arpi_synthetic_generator
LED-000000017,2025-07-01,GSA-002,CUS-00000615,VMD-00057,LDS-004,,EMP-00019,,1,16821,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000018,2025-07-01,GSA-001,CUS-00000138,VMD-00028,LDS-010,,EMP-00011,,1,32887,true,false,false,false,true,LED-000000007,,arpi_synthetic_generator
LED-000000019,2025-07-01,GSA-003,CUS-00000703,VMD-00088,LDS-015,,EMP-00027,SLE-00000112,1,299,true,true,true,true,false,,29,arpi_synthetic_generator
LED-000000020,2025-07-01,GSA-001,CUS-00002106,VMD-00005,LDS-012,,EMP-00011,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000021,2025-07-01,GSA-002,CUS-00000249,VMD-00100,LDS-016,,EMP-00013,SLE-00000024,1,11739,true,false,false,true,false,,8,arpi_synthetic_generator
LED-000000022,2025-07-01,GSA-002,CUS-00002013,VMD-00025,LDS-016,,EMP-00015,,1,606,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000023,2025-07-01,GSA-001,CUS-00001117,VMD-00104,LDS-011,CMP-00024,EMP-00011,SLE-00000049,1,832,true,true,true,true,false,,14,arpi_synthetic_generator
LED-000000024,2025-07-01,GSA-003,,VMD-00081,LDS-013,,EMP-00030,,1,356,false,false,false,false,false,,,arpi_synthetic_generator
