marketing_spend_id,month_date_key,dealership_id,campaign_id,lead_source_id,spend_amount,impressions,clicks,calls,form_submissions,vendor_reported_leads,source_system
MKT-00000001,20250701,GSA-001,CMP-00001,LDS-007,609.11,27519,1070,3,9,15,arpi_synthetic_generator
MKT-00000002,20250701,GSA-001,CMP-00010,LDS-006,97.91,4753,224,1,3,4,arpi_synthetic_generator
MKT-00000003,20250701,GSA-001,CMP-00011,LDS-006,209.59,10455,467,3,7,13,arpi_synthetic_generator
MKT-00000004,20250701,GSA-001,CMP-00013,LDS-010,921.55,55852,1045,14,30,47,arpi_synthetic_generator
MKT-00000005,20250701,GSA-001,CMP-00014,LDS-014,161.19,5814,0,2,0,2,arpi_synthetic_generator
MKT-00000006,20250701,GSA-001,CMP-00015,LDS-003,48.98,14302,385,2,7,10,arpi_synthetic_generator
MKT-00000007,20250701,GSA-001,CMP-00016,LDS-006,160.69,7424,327,2,4,7,arpi_synthetic_generator
MKT-00000008,20250701,GSA-001,CMP-00018,LDS-006,214.37,9339,383,2,5,8,arpi_synthetic_generator
MKT-00000009,20250701,GSA-001,CMP-00021,LDS-007,862.59,44200,1780,5,15,22,arpi_synthetic_generator
MKT-00000010,20250701,GSA-001,CMP-00023,LDS-007,343.88,17309,802,2,5,8,arpi_synthetic_generator
MKT-00000011,20250701,GSA-001,CMP-00024,LDS-011,447.57,26268,453,6,13,20,arpi_synthetic_generator
MKT-00000012,20250701,GSA-002,CMP-00003,LDS-006,176.50,7904,362,1,4,6,arpi_synthetic_generator
MKT-00000013,20250701,GSA-002,CMP-00005,LDS-010,293.45,19133,392,5,12,17,arpi_synthetic_generator
MKT-00000014,20250701,GSA-002,CMP-00008,LDS-011,163.90,9178,179,2,4,6,arpi_synthetic_generator
MKT-00000015,20250701,GSA-002,CMP-00011,LDS-006,189.88,8433,314,2,6,9,arpi_synthetic_generator
MKT-00000016,20250701,GSA-002,CMP-00015,LDS-003,41.76,12272,298,2,7,10,arpi_synthetic_generator
MKT-00000017,20250701,GSA-002,CMP-00016,LDS-006,99.46,4239,176,2,5,7,arpi_synthetic_generator
MKT-00000018,20250701,GSA-002,CMP-00018,LDS-006,165.67,8578,371,2,5,7,arpi_synthetic_generator
MKT-00000019,20250701,GSA-002,CMP-00021,LDS-007,542.59,25885,1228,5,12,22,arpi_synthetic_generator
MKT-00000020,20250701,GSA-002,CMP-00023,LDS-007,287.26,11503,433,2,5,7,arpi_synthetic_generator
MKT-00000021,20250701,GSA-002,CMP-00024,LDS-011,333.84,18421,379,4,9,14,arpi_synthetic_generator
MKT-00000022,20250701,GSA-003,CMP-00008,LDS-011,108.25,7061,133,1,3,4,arpi_synthetic_generator
MKT-00000023,20250701,GSA-003,CMP-00010,LDS-006,46.59,2351,107,0,1,1,arpi_synthetic_generator
MKT-00000024,20250701,GSA-003,CMP-00014,LDS-014,89.15,3110,0,1,0,1,arpi_synthetic_generator
MKT-00000025,20250701,GSA-003,CMP-00018,LDS-006,104.25,4629,203,1,3,5,arpi_synthetic_generator
MKT-00000026,20250701,GSA-003,CMP-00021,LDS-007,369.46,16179,632,4,10,16,arpi_synthetic_generator
MKT-00000027,20250701,GSA-003,CMP-00023,LDS-007,182.06,8800,348,1,3,5,arpi_synthetic_generator
MKT-00000028,20250801,GSA-001,CMP-00001,LDS-007,549.28,22110,1021,3,10,14,arpi_synthetic_generator
MKT-00000029,20250801,GSA-001,CMP-00002,LDS-008,223.33,18677,197,2,5,8,arpi_synthetic_generator
MKT-00000030,20250801,GSA-001,CMP-00010,LDS-006,81.51,4134,193,1,2,3,arpi_synthetic_generator
MKT-00000031,20250801,GSA-001,CMP-00011,LDS-006,208.54,10678,508,2,8,11,arpi_synthetic_generator
MKT-00000032,20250801,GSA-001,CMP-00013,LDS-010,1108.94,64735,1101,17,38,63,arpi_synthetic_generator
MKT-00000033,20250801,GSA-001,CMP-00014,LDS-014,257.75,9737,0,5,1,7,arpi_synthetic_generator
MKT-00000034,20250801,GSA-001,CMP-00015,LDS-003,44.24,13304,364,2,7,12,arpi_synthetic_generator
MKT-00000035,20250801,GSA-001,CMP-00016,LDS-006,158.29,7621,358,1,4,6,arpi_synthetic_generator
MKT-00000036,20250801,GSA-001,CMP-00017,LDS-003,46.18,12523,350,1,5,8,arpi_synthetic_generator
MKT-00000037,20250801,GSA-001,CMP-00018,LDS-006,232.07,10177,391,2,5,9,arpi_synthetic_generator
MKT-00000038,20250801,GSA-001,CMP-00021,LDS-007,860.12,42149,1609,4,13,19,arpi_synthetic_generator
MKT-00000039,20250801,GSA-001,CMP-00023,LDS-007,440.07,18110,752,2,8,12,arpi_synthetic_generator
MKT-00000040,20250801,GSA-001,CMP-00024,LDS-011,477.08,27203,536,6,13,20,arpi_synthetic_generator
MKT-00000041,20250801,GSA-002,CMP-00002,LDS-008,219.95,19657,191,1,4,6,arpi_synthetic_generator
MKT-00000042,20250801,GSA-002,CMP-00003,LDS-006,155.72,6329,270,2,5,9,arpi_synthetic_generator
MKT-00000043,20250801,GSA-002,CMP-00005,LDS-010,379.08,24576,444,4,10,14,arpi_synthetic_generator
MKT-00000044,20250801,GSA-002,CMP-00008,LDS-011,167.94,8971,189,2,4,6,arpi_synthetic_generator
MKT-00000045,20250801,GSA-002,CMP-00011,LDS-006,205.82,10586,463,2,4,7,arpi_synthetic_generator
MKT-00000046,20250801,GSA-002,CMP-00015,LDS-003,52.69,15106,423,2,6,9,arpi_synthetic_generator
MKT-00000047,20250801,GSA-002,CMP-00016,LDS-006,107.80,4362,207,1,2,4,arpi_synthetic_generator
MKT-00000048,20250801,GSA-002,CMP-00017,LDS-003,35.29,9183,256,2,5,8,arpi_synthetic_generator
MKT-00000049,20250801,GSA-002,CMP-00018,LDS-006,176.46,8635,374,2,6,8,arpi_synthetic_generator
MKT-00000050,20250801,GSA-002,CMP-00021,LDS-007,672.13,33253,1376,3,11,17,arpi_synthetic_generator
MKT-00000051,20250801,GSA-002,CMP-00023,LDS-007,345.44,15713,630,2,5,7,arpi_synthetic_generator
