sale_id,sale_date,delivery_date,dealership_id,vehicle_id,customer_id,salesperson_id,desk_manager_id,finance_manager_id,lead_source_id,sale_type,is_retail,unit_count,sale_price,msrp,original_asking_price,final_asking_price,acquisition_cost,reconditioning_cost,pack_amount,front_end_gross,back_end_gross,total_gross,trade_allowance,trade_acv,cash_down,amount_financed,days_in_inventory_at_sale,source_system
SLE-00000001,2025-07-01,2025-07-02,GSA-002,VEH-0000186,CUS-00002397,EMP-00020,EMP-00013,EMP-00017,,New Retail,true,1,24471.79,25127.25,25061.34,25061.34,22927.64,108.00,750.00,686.15,1613.64,2299.79,0.00,0.00,6164.10,18307.69,28,arpi_synthetic_generator
SLE-00000002,2025-07-01,2025-07-01,GSA-001,VEH-0000816,CUS-00002224,EMP-00003,EMP-00001,EMP-00005,,New Retail,true,1,36757.94,38453.63,38975.18,37922.85,34500.17,79.00,795.00,1383.77,2199.27,3583.04,5908.82,5487.23,2994.26,27854.86,115,arpi_synthetic_generator
SLE-00000003,2025-07-02,2025-07-07,GSA-003,VEH-0000346,CUS-00001834,EMP-00025,EMP-00024,EMP-00028,,Used Retail,true,1,3714.07,,3939.74,3805.79,2302.10,918.55,495.00,-1.58,977.29,975.71,875.03,783.45,2781.60,57.44,60,arpi_synthetic_generator
SLE-00000004,2025-07-02,2025-07-02,GSA-001,VEH-0000444,CUS-00000092,EMP-00004,EMP-00008,EMP-00005,,Used Retail,true,1,20784.18,,22036.21,21661.59,15461.09,3025.59,795.00,1502.50,1543.36,3045.86,0.00,0.00,3194.51,17589.67,58,arpi_synthetic_generator
SLE-00000005,2025-07-02,2025-07-02,GSA-002,VEH-0000516,CUS-00001496,EMP-00020,EMP-00023,EMP-00017,,Used Retail,true,1,19745.78,,20720.24,20368.00,13269.87,2568.75,750.00,3157.16,1340.26,4497.42,0.00,0.00,2360.55,17385.23,30,arpi_synthetic_generator
SLE-00000006,2025-07-02,2025-07-03,GSA-001,VEH-0000750,CUS-00002182,EMP-00007,EMP-00002,EMP-00005,,Used Retail,true,1,3402.64,,3607.11,3607.11,1959.71,829.52,795.00,-181.59,1679.17,1497.58,0.00,0.00,3402.64,0.00,14,arpi_synthetic_generator
SLE-00000007,2025-07-02,2025-07-05,GSA-001,VEH-0000798,CUS-00001619,EMP-00010,EMP-00002,EMP-00005,,Lease,true,1,47370.28,,49102.09,48267.35,34262.01,3295.36,795.00,9017.91,1055.68,10073.59,10681.51,9534.64,2539.08,34149.69,46,arpi_synthetic_generator
SLE-00000008,2025-07-03,2025-07-03,GSA-001,VEH-0000249,CUS-00000741,EMP-00012,EMP-00002,EMP-00005,,Certified Retail,true,1,35646.10,,38614.41,37301.52,26940.12,2541.03,795.00,5369.95,1083.82,6453.77,0.00,0.00,5062.88,0.00,62,arpi_synthetic_generator
SLE-00000009,2025-07-03,2025-07-04,GSA-001,VEH-0000252,CUS-00000819,EMP-00010,EMP-00008,EMP-00005,,Used Retail,true,1,15596.27,,17722.83,16818.97,10167.69,2963.60,795.00,1669.98,697.11,2367.09,0.00,0.00,4738.26,10858.01,111,arpi_synthetic_generator
SLE-00000010,2025-07-03,2025-07-03,GSA-003,VEH-0000433,,EMP-00026,EMP-00030,,,Dealer Trade,false,1,31851.76,,37377.31,36741.90,28131.18,802.32,495.00,2423.26,0.00,2423.26,0.00,0.00,0.00,0.00,41,arpi_synthetic_generator
