sales_target_id,target_month_date_key,dealership_id,target_scope_type,target_scope_id,department_name,employee_id,kpi_id,target_value,stretch_target_value,source_system
TGT-00000001,20250701,GSA-001,Department,Finance,Finance,,KPI-GRS-002,57627.52,62237.72,arpi_synthetic_generator
TGT-00000002,20250701,GSA-001,Department,Sales,Sales,,KPI-GRS-001,102448.92,110644.83,arpi_synthetic_generator
TGT-00000003,20250701,GSA-001,Store,GSA-001,,,KPI-GRS-003,160076.44,172882.56,arpi_synthetic_generator
TGT-00000004,20250701,GSA-001,Store,GSA-001,,,KPI-SLS-001,43.00,46.00,arpi_synthetic_generator
TGT-00000005,20250801,GSA-001,Department,Finance,Finance,,KPI-GRS-002,58412.01,63084.97,arpi_synthetic_generator
TGT-00000006,20250801,GSA-001,Department,Sales,Sales,,KPI-GRS-001,103843.56,112151.04,arpi_synthetic_generator
TGT-00000007,20250801,GSA-001,Store,GSA-001,,,KPI-GRS-003,162255.57,175236.02,arpi_synthetic_generator
TGT-00000008,20250801,GSA-001,Store,GSA-001,,,KPI-SLS-001,45.00,49.00,arpi_synthetic_generator
TGT-00000009,20250901,GSA-001,Department,Finance,Finance,,KPI-GRS-002,55346.72,59774.46,arpi_synthetic_generator
TGT-00000010,20250901,GSA-001,Department,Sales,Sales,,KPI-GRS-001,98394.18,106265.71,arpi_synthetic_generator
TGT-00000011,20250901,GSA-001,Store,GSA-001,,,KPI-GRS-003,153740.90,166040.17,arpi_synthetic_generator
TGT-00000012,20250901,GSA-001,Store,GSA-001,,,KPI-SLS-001,39.00,42.00,arpi_synthetic_generator
TGT-00000013,20251001,GSA-001,Department,Finance,Finance,,KPI-GRS-002,55630.77,60081.23,arpi_synthetic_generator
TGT-00000014,20251001,GSA-001,Department,Sales,Sales,,KPI-GRS-001,98899.15,106811.08,arpi_synthetic_generator
TGT-00000015,20251001,GSA-001,Store,GSA-001,,,KPI-GRS-003,154529.92,166892.31,arpi_synthetic_generator
TGT-00000016,20251001,GSA-001,Store,GSA-001,,,KPI-SLS-001,39.00,42.00,arpi_synthetic_generator
TGT-00000017,20251101,GSA-001,Department,Finance,Finance,,KPI-GRS-002,46392.28,50103.66,arpi_synthetic_generator
TGT-00000018,20251101,GSA-001,Department,Sales,Sales,,KPI-GRS-001,82475.16,89073.17,arpi_synthetic_generator
TGT-00000019,20251101,GSA-001,Store,GSA-001,,,KPI-GRS-003,128867.44,139176.84,arpi_synthetic_generator
TGT-00000020,20251101,GSA-001,Store,GSA-001,,,KPI-SLS-001,34.00,37.00,arpi_synthetic_generator
TGT-00000021,20251201,GSA-001,Department,Finance,Finance,,KPI-GRS-002,55114.80,59523.98,arpi_synthetic_generator
TGT-00000022,20251201,GSA-001,Department,Sales,Sales,,KPI-GRS-001,97981.88,105820.43,arpi_synthetic_generator
TGT-00000023,20251201,GSA-001,Store,GSA-001,,,KPI-GRS-003,153096.68,165344.41,arpi_synthetic_generator
TGT-00000024,20251201,GSA-001,Store,GSA-001,,,KPI-SLS-001,40.00,43.00,arpi_synthetic_generator
TGT-00000025,20250701,GSA-002,Department,Finance,Finance,,KPI-GRS-002,42009.40,45370.15,arpi_synthetic_generator
TGT-00000026,20250701,GSA-002,Department,Sales,Sales,,KPI-GRS-001,63014.11,68055.24,arpi_synthetic_generator
TGT-00000027,20250701,GSA-002,Store,GSA-002,,,KPI-GRS-003,105023.51,113425.39,arpi_synthetic_generator
TGT-00000028,20250701,GSA-002,Store,GSA-002,,,KPI-SLS-001,36.00,39.00,arpi_synthetic_generator
TGT-00000029,20250801,GSA-002,Department,Finance,Finance,,KPI-GRS-002,44629.04,48199.36,arpi_synthetic_generator
TGT-00000030,20250801,GSA-002,Department,Sales,Sales,,KPI-GRS-001,66943.55,72299.03,arpi_synthetic_generator
TGT-00000031,20250801,GSA-002,Store,GSA-002,,,KPI-GRS-003,111572.59,120498.40,arpi_synthetic_generator
TGT-00000032,20250801,GSA-002,Store,GSA-002,,,KPI-SLS-001,41.00,44.00,arpi_synthetic_generator
